id	logFC	AveExpr	t	P.Value	adj.P.Val	B
SH3BP2	0.598358275902111	6.37827396440807	5.33813529624081	2.24374084489057e-07	4.36265197966801e-06	6.61495467476802
EIF2B3	-0.681691809405586	7.13230999973991	-5.33686140220257	2.25780848430068e-07	4.37693700320562e-06	6.60899132667431
MT1G	0.785638897309788	8.99174113964574	5.33492770681707	2.27932638052244e-07	4.41091366034751e-06	6.59994142985895
AEBP1	0.850696107474931	7.18174671145291	5.33401676555224	2.28953218587368e-07	4.42543892201127e-06	6.59567901146019
ATP6V0A1	-0.797420719742141	5.89446868503587	-5.33222055218262	2.3097865745193e-07	4.45408373446422e-06	6.58727593974927
ZNF488	-0.915107120731335	5.74981616448431	-5.33072481828273	2.32678557298909e-07	4.48159134275725e-06	6.5802802522627
MT2A	0.760101907391379	11.2213356497444	5.32631025230748	2.377669520678e-07	4.56886062291127e-06	6.55964180214852
TNS3	0.850954785776173	9.69751390744843	5.32606304666147	2.38055067359405e-07	4.56904052586417e-06	6.55848648861201
FSD1	-0.797721891836477	8.28627252607175	-5.32581113001352	2.38349022504897e-07	4.56933196243014e-06	6.55730920110235
SGPP2	-1.02350277570941	4.7373225901435	-5.32511488215804	2.39163293433594e-07	4.57953298967138e-06	6.55405563598301
TTC14	0.672910475515074	9.12432022380269	5.32487887293075	2.39439922649526e-07	4.57953298967138e-06	6.55295284023847
F3	0.839632169854704	8.12001953667265	5.32463885288923	2.39721572076169e-07	4.57957609312411e-06	6.55183134218874
VLDLR	-0.64488555176762	7.08549899960987	-5.31940514342366	2.45943735911245e-07	4.68503265375089e-06	6.5273865069411
UQCRFS1	-0.587638155011128	9.11510836052466	-5.31927597436329	2.46099268798702e-07	4.68503265375089e-06	6.52678343948154
SMAD5	0.642361350727624	6.26997349048879	5.3190383697867	2.46385619037359e-07	4.68504255410829e-06	6.52567413553745
LETMD1	-0.632799783553301	8.73729280801345	-5.31465209876443	2.51730314084559e-07	4.77007118862428e-06	6.50520288267581
MRPS15	-0.890469737684724	6.59752111833632	-5.31437278032339	2.52074456365055e-07	4.77107669085405e-06	6.50389971479935
COMMD9	-0.64321060657007	7.92991043723318	-5.3129057747725	2.53889446032987e-07	4.79988686266055e-06	6.49705623463875
SRGAP1	0.953166349370909	5.450681263287	5.30902833700844	2.58748025011191e-07	4.88048202296713e-06	6.47897533031962
SNRPB	-0.710874897103855	7.74569275788341	-5.30796725569008	2.60093276756226e-07	4.90021712564516e-06	6.47402918536865
HSPA1A	0.781010317698597	12.0254156458206	5.30664135310245	2.61783831301334e-07	4.92640502739399e-06	6.46784967885015
GRIA1	-0.760069293580552	8.47418528936771	-5.30262717660951	2.66967377689778e-07	5.01244248306203e-06	6.44914851958243
FAM173B	0.704848225855184	5.72879305435426	5.29996740513991	2.70456780761886e-07	5.07214770419688e-06	6.43676330273636
MAL2	-0.96580137812869	7.76838637021525	-5.29753516740151	2.7368645870918e-07	5.12685113680248e-06	6.42544183230466
PAFAH1B1	-0.648958427697952	9.1710191841704	-5.29560716196406	2.76273193088814e-07	5.16350502613313e-06	6.41647031607607
GTF2B	-0.618254550843091	8.43823566055605	-5.29496885423338	2.77134811807625e-07	5.17370922589839e-06	6.41350066300667
ATXN7	0.603555150287692	8.50860642034977	5.29267069722366	2.80258660169013e-07	5.22607474269658e-06	6.40281106282018
ARHGAP31	0.625101064531369	6.3347953701704	5.28166447001221	2.95699960899933e-07	5.49525857042041e-06	6.35166708271307
DNAJA4	-0.905247693752297	5.0270115338296	-5.27984528022156	2.98330598880753e-07	5.53160276725614e-06	6.34322162896904
